Person Name,Person ID,Date,Start,End
Lilli Brockington,1,13.7.2012,18:21,01:00
Wenona Endsley,2,13.7.2012,18:21,23:06
Wenona Endsley,2,13.7.2012,04:21,04:21
Houston Riess,3,13.7.2012,18:21,23:19
Houston Riess,3,13.7.2012,04:21,04:21
Chana Crowther,4,13.7.2012,18:21,03:43
Chana Crowther,4,13.7.2012,04:21,04:21
Aleisha Lige,5,13.7.2012,18:21,06:15
Modesto Melody,6,13.7.2012,18:21,23:57
Modesto Melody,6,13.7.2012,04:21,04:21
Hassan Lindstedt,7,13.7.2012,18:21,04:21
Elwood Quarles,8,13.7.2012,18:21,21:15
Marci Luckett,9,13.7.2012,18:21,05:50
Marci Luckett,9,13.7.2012,04:21,04:21
Virgilio Godby,10,13.7.2012,18:21,22:46
Curtis Duden,11,13.7.2012,18:21,01:10
Curtis Duden,11,13.7.2012,04:21,04:21
Kristina Marrinan,12,13.7.2012,18:21,01:06
Kristina Marrinan,12,13.7.2012,04:21,04:21
Felisa Diver,13,13.7.2012,18:21,01:58
Felisa Diver,13,13.7.2012,04:21,04:21
Dalia Hoak,14,13.7.2012,18:21,05:55
Dalia Hoak,14,13.7.2012,04:21,04:21
Shiloh Weis,15,13.7.2012,18:21,05:21
Lilli Brockington,1,14.7.2012,18:21,22:08
Wenona Endsley,2,14.7.2012,18:21,03:54
Houston Riess,3,14.7.2012,18:21,00:01
Houston Riess,3,14.7.2012,04:21,04:21
Chana Crowther,4,14.7.2012,18:21,21:03
Aleisha Lige,5,14.7.2012,18:21,01:05
Modesto Melody,6,14.7.2012,18:21,04:29
Hassan Lindstedt,7,14.7.2012,18:21,05:53
Elwood Quarles,8,14.7.2012,18:21,22:55
Marci Luckett,9,14.7.2012,18:21,22:58
Virgilio Godby,10,14.7.2012,18:21,00:54
Virgilio Godby,10,14.7.2012,04:21,04:21
Curtis Duden,11,14.7.2012,18:21,23:08
Curtis Duden,11,14.7.2012,04:21,04:21
Kristina Marrinan,12,14.7.2012,18:21,23:37
Kristina Marrinan,12,14.7.2012,04:21,04:21
Felisa Diver,13,14.7.2012,18:21,06:01
Lilli Brockington,1,15.7.2012,18:21,05:22
